County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Bladder/Male
"Chester County, South Carolina(6,10)",45023,***,29.1,18.6,43.5,5,stable,-9.2,-50.9,68,
"Yuba County, California(7,8)",6115,***,29.1,21,39.2,9,stable,-2,-4.3,0.3,
"Kern County, California(7,8)",6029,***,29.1,26.3,32,89,stable,-0.5,-1.8,0.8,
"Bossier Parish, Louisiana(7,8)",22015,***,29.1,22.9,36.3,16,falling,-2.9,-5.6,-0.2,
"DeKalb County, Tennessee(6,10)",47041,***,29,16.4,48.1,3,*,*,*,*,
"Cherokee County, Texas(6,10)",48073,***,29,20.5,39.9,8,stable,-15.6,-43.7,26.4,
"Levy County, Florida(6,10)",12075,***,29,21.1,39.6,9,stable,-20.5,-37.7,1.5,
"Shelby County, Illinois(6,10)",17173,***,28.9,18.2,44.5,5,stable,-1.7,-53.5,107.8,
"Sanpete County, Utah(7)",49039,***,28.9,17.3,45.3,4,*,*,*,*,
"Wayne County, North Carolina(6,10)",37191,***,28.9,23,35.8,17,stable,15.7,-24.5,77.4,
"Currituck County, North Carolina(6,10)",37053,***,28.8,17.2,45.8,4,stable,3.4,-42.7,86.5,
"Routt County, Colorado(6,10)",8107,***,28.8,16.6,47,4,stable,-11.9,-43.6,37.4,
"Cooke County, Texas(6,10)",48097,***,28.8,20.1,40.3,7,stable,12.7,-30,81.3,
"Decatur County, Georgia(7)",13087,***,28.8,16.8,45.8,4,*,*,*,*,
"Marshall County, Oklahoma(6,10)",40095,***,28.8,16.3,48.4,3,*,*,*,*,
"Galveston County, Texas(6,10)",48167,***,28.8,24.8,33.2,42,stable,-3.8,-14.6,8.4,
"Lincoln County, Mississippi(6,10)",28085,***,28.7,18,43.5,5,stable,-20.4,-52,32.1,
"Alachua County, Florida(6,10)",12001,***,28.7,24.2,33.8,30,stable,-4,-25.8,24.3,
"Washington County, Virginia(6,10)",51191,***,28.7,21.4,38,11,stable,1.5,-10.5,15,
"Boulder County, Colorado(6,10)",8013,***,28.7,24.6,33.3,39,stable,4.4,-13.3,25.7,
"Citrus County, Florida(6,10)",12017,***,28.7,24.8,33.3,45,stable,-0.9,-26.5,33.6,
"Yakima County, Washington(6,10)",53077,***,28.7,24.3,33.6,32,stable,-10.8,-25.5,6.9,
"Polk County, North Carolina(6,10)",37149,***,28.7,18.7,44.1,5,stable,2.8,-24.3,39.4,
"Juneau Borough, Alaska(6,10)",2110,***,28.6,15.3,47.9,3,*,*,*,*,
"Summit County, Utah(7)",49043,***,28.6,16.7,45.2,5,*,*,*,*,
"Union County, Pennsylvania(6,10)",42119,***,28.6,20,39.9,7,stable,-3.3,-30.6,34.6,
"Putnam County, Florida(6,10)",12107,***,28.6,22.3,36.3,15,stable,-6.5,-26,18.1,
"Delaware County, Iowa(7)",19055,***,28.6,16.3,47.4,3,*,*,*,*,
"La Paz County, Arizona(6,10)",4012,***,28.6,19.4,43.1,7,stable,-7.4,-50.3,72.6,
"Franklin County, North Carolina(6,10)",37069,***,28.6,20.4,38.9,9,stable,-2.6,-39.5,56.9,
"Jones County, Texas(6,10)",48253,***,28.6,16,47.1,3,*,*,*,*,
"Washington Parish, Louisiana(7,8)",22117,***,28.6,20,39.7,8,stable,-2,-7.7,4.1,
"Fairfax County, Virginia(6,10)",51059,***,28.6,26.3,31,128,stable,-1.2,-12.1,11.1,
"Nodaway County, Missouri(6,10)",29147,***,28.6,16.2,47,3,*,*,*,*,
"Sumter County, Georgia(7,8)",13261,***,28.6,17.5,44,4,stable,-1.5,-5.3,2.5,
"Beaufort County, North Carolina(6,10)",37013,***,28.5,20.5,38.9,9,stable,-8.8,-35.3,28.6,
"Sabine Parish, Louisiana(7,8)",22085,***,28.5,17.5,44.3,4,stable,-0.3,-5,4.5,
"Orange County, California(7,8)",6059,***,28.5,27.2,29.8,399,falling,-1.9,-2.6,-1.3,
"Durham County, North Carolina(6,10)",37063,***,28.5,23.9,33.7,29,stable,12.1,-0.8,26.7,
"Bastrop County, Texas(6,10)",48021,***,28.5,20.7,38.1,10,stable,16,-26.5,83.1,
"Chatham County, Georgia(7,8)",13051,***,28.4,24.3,33.1,35,stable,-1.1,-3.1,1,
"Cass County, Texas(6,10)",48067,***,28.4,18.9,41.5,6,stable,-7.7,-36.8,34.7,
"Cass County, Michigan(6,10)",26027,***,28.4 #  ,20.6,38.3,9,stable,-8.2,-35,29.8,
"Gwinnett County, Georgia(7,8)",13135,***,28.4,25.2,31.8,73,falling,-1.7,-2.5,-0.8,
"Caledonia County, Vermont(6,10)",50005,***,28.3,18.7,41.6,6,stable,-8.1,-30.3,21,
"Chesterfield County, South Carolina(6,10)",45025,***,28.3,18.9,40.8,6,stable,-7.4,-24.7,14,
"Brantley County, Georgia(7)",13025,***,28.3,15.6,47.8,3,*,*,*,*,
"Barry County, Missouri(6,10)",29009,***,28.3,19.2,40.6,7,stable,4.9,-32.6,63.1,
"Ashley County, Arkansas(6,10)",5003,***,28.3,17,45.1,4,rising,19.3,3.2,37.8,
"Texas County, Missouri(6,10)",29215,***,28.3,17.9,42.9,5,*,*,*,*,
"Lawrence County, Arkansas(6,10)",5075,***,28.3,16.1,47.1,3,*,*,*,*,
"Bell County, Texas(6,10)",48027,***,28.2,23.9,33.1,32,stable,2.3,-20.9,32.4,
"Eastland County, Texas(6,10)",48133,***,28.2,16.4,46.3,3,*,*,*,*,
"Navarro County, Texas(6,10)",48349,***,28.2,19.4,39.5,7,stable,1.8,-33.1,55.1,
"Dallas County, Texas(6,10)",48113,***,28.1,26.5,29.9,235,stable,-0.7,-8.8,8.1,
"White County, Tennessee(6,10)",47185,***,28.1,17.8,42.9,5,stable,7.4,-9,26.8,
"Curry County, Oregon(6,10)",41015,***,28.1,19.2,42,6,stable,-1.2,-37.6,56.3,
"Brazoria County, Texas(6,10)",48039,***,28.1,24,32.8,36,stable,6.4,-18.7,39.2,
"Randall County, Texas(6,10)",48381,***,28.1,22.1,35.2,16,stable,-7.8,-32.7,26.3,
"Bryan County, Oklahoma(6,10)",40013,***,28.1,19.5,39.4,7,stable,27.6,-16.8,95.5,
"Bandera County, Texas(6,10)",48019,***,28.1,18,43.6,5,stable,12.7,-27.5,75,
"Ware County, Georgia(7,8)",13299,***,28.1,17.9,41.8,5,stable,0.5,-6.3,7.8,
"Aiken County, South Carolina(6,10)",45003,***,28,23.2,33.5,25,stable,-5.8,-28.6,24.4,
"Chesterfield County, Virginia(6,10)",51041,***,28,24,32.5,39,falling,-7.9,-15.1,-0.1,
"Unicoi County, Tennessee(6,10)",47171,***,28,16.4,45.8,4,stable,19.6,-35.2,120.9,
"Bourbon County, Kentucky(7)",21017,***,28,16,46,3,*,*,*,*,
"Okmulgee County, Oklahoma(6,10)",40111,***,28,18.9,40,6,stable,3.3,-39.9,77.7,
"Barbour County, Alabama(6,10)",1005,***,28,16.6,44.2,4,stable,5.9,-28.4,56.5,
"Polk County, Missouri(6,10)",29167,***,28,18.2,41.5,5,stable,17.7,-1.2,40.2,
"Langlade County, Wisconsin(6,10)",55067,***,28,17.4,43.9,4,stable,10.5,-9.9,35.5,
"Lubbock County, Texas(6,10)",48303,***,28,23.7,32.7,32,stable,-15.1,-28.1,0.4,
"Bannock County, Idaho(6,10)",16005,***,27.9,20.6,36.9,10,stable,-15.2,-43,26.2,
"Alameda County, California(7,8)",6001,***,27.9,26.1,29.8,190,stable,-0.1,-0.6,0.5,
"Isle of Wight County, Virginia(6,10)",51093,***,27.9,18.1,41.3,6,stable,-8.3,-30.3,20.5,
"Los Angeles County, California(7,8)",6037,***,27.8,27.1,28.6,1168,falling,-1.3,-1.8,-0.8,
"Gibson County, Tennessee(6,10)",47053,***,27.8,19.9,38.1,8,stable,-6.5,-29.7,24.3,
"Calhoun County, Michigan(6,10)",26025,***,27.8 #  ,22.6,33.9,21,stable,-3.8,-22.1,18.7,
"Grenada County, Mississippi(6,10)",28043,***,27.8,15.6,46.1,3,*,*,*,*,
"Lauderdale County, Tennessee(6,10)",47097,***,27.8,16,44.7,4,stable,-26.3,-46.2,1,
"Hardee County, Florida(6,10)",12049,***,27.8,16.9,43.1,4,stable,-3,-57.1,119.5,
"Pitt County, North Carolina(6,10)",37147,***,27.8,22.2,34.3,19,stable,-2.4,-19.9,18.9,
"Franklin County, Vermont(6,10)",50011,***,27.8,18.7,39.6,7,stable,15.8,-19.6,67,
"Tallapoosa County, Alabama(6,10)",1123,***,27.7,19.2,39.1,7,stable,6,-24,47.8,
"Dona Ana County, New Mexico(7,8)",35013,***,27.7,23.3,32.7,29,stable,-0.1,-1.4,1.2,
"Fairfield County, South Carolina(6,10)",45039,***,27.7,16.1,45,4,stable,-8.4,-31,21.7,
"Dillon County, South Carolina(6,10)",45033,***,27.6,16.4,43.4,4,stable,4.1,-34.4,65.1,
"Pima County, Arizona(6,10)",4019,***,27.6,25.7,29.6,164,stable,-2.4,-9.2,4.8,
"Hart County, Georgia(7,8)",13147,***,27.6,16.8,43.1,4,stable,-3.5,-10.9,4.5,
"Albemarle County, Virginia(6,10)",51003,***,27.6,21.6,34.7,15,stable,-8.7,-40.1,39.2,
"Santa Clara County, California(7,8)",6085,***,27.5,25.9,29.2,224,falling,-1,-1.9,-0.1,
"Harrison County, Indiana(6,10)",18061,***,27.5,18.5,39.5,6,stable,5.8,-19.3,38.8,
"Nueces County, Texas(6,10)",48355,***,27.5,23.9,31.4,44,stable,-4.3,-21.9,17.1,
"Richland County, South Carolina(6,10)",45079,***,27.4,23.5,31.7,39,stable,0.4,-9.3,11.1,
"Mercer County, Illinois(6,10)",17131,***,27.4,15.5,46.3,3,*,*,*,*,
"Winchester City, Virginia(6,10)",51840,***,27.4,16.6,42.7,4,stable,-9.3,-44.3,47.6,
"Hardeman County, Tennessee(6,10)",47069,***,27.4,15.9,43.7,4,stable,-24,-48.9,13,
"Montgomery County, Texas(6,10)",48339,***,27.3,24,31,55,stable,-1.5,-9.8,7.5,
"Portage County, Wisconsin(6,10)",55097,***,27.3,20,36.5,10,stable,-6.5,-22.1,12.3,
"Columbia County, Florida(6,10)",12023,***,27.3,20.5,35.6,11,stable,-7.5,-39.1,40.5,
"Natchitoches Parish, Louisiana(7,8)",22069,***,27.2,17.8,40,5,stable,-2.4,-6.8,2.3,
"Burnet County, Texas(6,10)",48053,***,27.2,19.3,37.6,8,stable,-0.1,-36.4,56.8,
"Fresno County, California(7,8)",6019,***,27.2,24.8,29.7,100,falling,-10.9,-20.3,-0.4,
"Hot Spring County, Arkansas(6,10)",5059,***,27.2,17.5,40.4,5,stable,-7.7,-44.7,54.1,
"Madison County, Tennessee(6,10)",47113,***,27.2,20.9,34.8,13,stable,0.9,-14.8,19.5,
"Rapides Parish, Louisiana(7,8)",22079,***,27.2,21.7,33.6,18,stable,-2,-5.3,1.4,
"Scotland County, North Carolina(6,10)",37165,***,27.2,17.1,40.9,5,stable,-22.8,-52.9,26.7,
"Franklin Parish, Louisiana(7)",22041,***,27.2,15.3,45,3,*,*,*,*,
"Erath County, Texas(6,10)",48143,***,27.1,17.4,40.4,5,stable,16.4,-18.3,65.9,
"Caddo Parish, Louisiana(7,8)",22017,***,27.1,23.1,31.7,33,stable,0.7,-6.8,8.7,
"Pierce County, Wisconsin(6,10)",55093,***,27.1,17.6,39.9,6,stable,19.4,-16.1,69.8,
"Loudoun County, Virginia(6,10)",51107,***,27.1,22.5,32.3,29,stable,2.2,-12.6,19.4,
"Clarke County, Alabama(6,10)",1025,***,27.1,16.6,42.4,4,stable,19.6,-15.2,68.8,
"St. Martin Parish, Louisiana(7,8)",22099,***,27.1,19,37.6,8,stable,-1.6,-6.4,3.4,
"Accomack County, Virginia(6,10)",51001,***,27.1,18.1,39.4,6,stable,29.7,-49.5,232.9,
"Otero County, Colorado(6,10)",8089,***,27,15.6,44.5,3,*,*,*,*,
"Lamar County, Mississippi(6,10)",28073,***,27,18.1,38.5,6,stable,-2.1,-23.8,25.9,
"Jim Wells County, Texas(6,10)",48249,***,27,17.5,39.7,5,*,*,*,*,
"McLennan County, Texas(6,10)",48309,***,27,22.7,31.8,30,stable,-1.4,-9.8,7.8,
"Bingham County, Idaho(6,10)",16011,***,27,18,38.7,6,rising,33.5,1.5,75.8,
"Albany County, Wyoming(6,10)",56001,***,27,15.5,43.2,4,stable,1.4,-26.9,40.6,
"Jo Daviess County, Illinois(6,10)",17085,***,27,17.5,41.1,5,stable,-2.4,-24.1,25.5,
"St. Croix County, Wisconsin(6,10)",55109,***,26.9,19.7,35.8,10,stable,10.5,-10,35.6,
"Hickman County, Tennessee(6,10)",47081,***,26.9,15.9,42.7,4,*,*,*,*,
"Prince Georges County, Maryland(6,10)",24033,***,26.9,24.2,29.7,84,stable,2.7,-9.3,16.2,
"DeKalb County, Georgia(7,8)",13089,***,26.9,23.8,30.1,65,stable,-0.6,-1.4,0.2,
"Walker County, Texas(6,10)",48471,***,26.8,18.6,37.3,8,stable,-7.6,-31.1,24,
"DeSoto County, Mississippi(6,10)",28033,***,26.8,21.3,33.3,18,stable,-3.3,-33.6,40.6,
"Russell County, Alabama(6,10)",1113,***,26.8,18.3,37.8,7,stable,-11.3,-37.7,26.3,
"Wood County, Texas(6,10)",48499,***,26.7,19.6,36.3,10,stable,-3.7,-29.1,30.7,
"Shelby County, Tennessee(6,10)",47157,***,26.7,24.3,29.4,95,stable,2.7,-9.1,16,
"Grayson County, Virginia(6,10)",51077,***,26.7,15.7,45,4,stable,-16.1,-55.2,57.1,
"Edgecombe County, North Carolina(6,10)",37065,***,26.7,18.8,36.9,8,stable,-1.6,-15.3,14.4,
"McIntosh County, Oklahoma(6,10)",40091,***,26.7,16.8,41.8,5,stable,4.4,-35.6,69.3,
"Caddo County, Oklahoma(6,10)",40015,***,26.6,16.3,41,4,stable,21,-21,85.3,
"Gallatin County, Montana(6,10)",30031,***,26.6,19.7,35,11,rising,12,2.7,22,
"Waynesboro City, Virginia(6,10)",51820,***,26.6,15.1,43.7,3,*,*,*,*,
"Young County, Texas(6,10)",48503,***,26.6,15.1,44.1,3,*,*,*,*,
"Henry County, Virginia(6,10)",51089,***,26.4,18.9,36.2,9,stable,-19.2,-44.3,17.3,
"Comal County, Texas(6,10)",48091,***,26.4,21.1,32.7,18,stable,-0.6,-32.1,45.6,
"Suwannee County, Florida(6,10)",12121,***,26.3,18.4,36.7,7,stable,16.1,-5,42.1,
"Plumas County, California(7)",6063,***,26.3,16.9,41.4,5,*,*,*,*,
"East Feliciana Parish, Louisiana(7,8)",22037,***,26.3,14.6,44.1,3,stable,-1.5,-8.2,5.6,
"Newaygo County, Michigan(6,10)",26123,***,26.3 #  ,18.6,36.3,8,stable,3,-27.9,47,
"Jefferson County, Texas(6,10)",48245,***,26.2,22.2,30.8,32,falling,-10.4,-18.2,-1.8,
"Baker County, Florida(6,10)",12003,***,26.2,15.8,41.2,4,stable,-7.6,-39.9,42.1,
"Merced County, California(7,8)",6047,***,26.2,21.8,31.3,25,stable,-2.6,-5.2,0.2,
"Yell County, Arkansas(6,10)",5149,***,26.2,15.1,42.8,3,*,*,*,*,
"Monroe County, Florida(6,10)",12087,***,26.2,20.8,33,17,stable,8,-26,57.7,
"Smyth County, Virginia(6,10)",51173,***,26.2,17.1,38.9,5,stable,-5.7,-48.6,73.1,
"Midland County, Texas(6,10)",48329,***,26.1,20.5,32.7,16,stable,10.4,-18.5,49.6,
"Adams County, Mississippi(6,10)",28001,***,26.1,16.5,39.4,5,stable,10.5,-16,45.4,
"Bonneville County, Idaho(6,10)",16019,***,26.1,19.8,33.6,12,stable,-10.1,-19.6,0.4,
"Miami-Dade County, Florida(6,10)",12086,***,26.1,24.8,27.4,342,stable,-2.5,-6.1,1.2,
"Bernalillo County, New Mexico(7,8)",35001,***,26,23.5,28.7,83,falling,-0.9,-1.5,-0.2,
"Hanover County, Virginia(6,10)",51085,***,25.9,20,33,14,stable,-9.4,-35.7,27.7,
"Mecklenburg County, Virginia(6,10)",51117,***,25.9,17,38.5,6,stable,11.8,-29.5,77.4,
"Liberty County, Texas(6,10)",48291,***,25.9,18.5,35.2,9,stable,19.3,-35.8,121.9,
"Bowie County, Texas(6,10)",48037,***,25.9,19.6,33.5,12,stable,1.5,-6.7,10.5,
"Rio Arriba County, New Mexico(7)",35039,***,25.9,16.8,38.1,6,*,*,*,*,
"Washington County, Nebraska(6,10)",31177,***,25.8,14.4,43.3,3,*,*,*,*,
"Sioux County, Iowa(7,8)",19167,***,25.8,16.4,38.8,5,stable,-1.6,-4.2,1,
"Madison County, Nebraska(6,10)",31119,***,25.8,16.6,38.5,5,stable,3.6,-21.8,37.4,
"Covington County, Alabama(6,10)",1039,***,25.7,17.2,37.2,6,stable,-7.1,-27.9,19.8,
"Catoosa County, Georgia(7,8)",13047,***,25.7,18.3,35.1,9,stable,-1,-6,4.4,
"Chambers County, Texas(6,10)",48071,***,25.6,16,39,5,stable,-2.8,-42.3,63.7,
"Giles County, Tennessee(6,10)",47055,***,25.6,15.9,39.4,5,stable,-4.3,-20.7,15.4,
"Robeson County, North Carolina(6,10)",37155,***,25.6,19.7,32.6,15,stable,-0.4,-23.2,29.2,
"Grady County, Oklahoma(6,10)",40051,***,25.6,17.5,36.1,7,stable,-2.9,-28.6,32.1,
"Wilson County, North Carolina(6,10)",37195,***,25.6,18.9,33.8,10,stable,1.3,-19.2,27,
"Burnett County, Wisconsin(6,10)",55013,***,25.5,14.6,43.9,3,*,*,*,*,
"Geneva County, Alabama(6,10)",1061,***,25.4,16,39.1,5,stable,12,-7.4,35.5,
"Palo Pinto County, Texas(6,10)",48363,***,25.4,15.3,40,4,stable,0.3,-30,43.6,
"Gilchrist County, Florida(6,10)",12041,***,25.4,14.7,42.5,3,*,*,*,*,
"Warren County, Mississippi(6,10)",28149,***,25.4,17,36.6,6,stable,9.5,-21.7,53.1,
"San Francisco County, California(7,8)",6075,***,25.4,23.3,27.7,112,falling,-0.7,-1.3,-0.1,
"Gratiot County, Michigan(6,10)",26057,***,25.4 #  ,16.9,36.7,6,stable,-0.9,-39.9,63.3,
"Cumberland County, North Carolina(6,10)",37051,***,25.4,21.3,30,30,stable,-1.2,-5.1,2.9,
"Miller County, Arkansas(6,10)",5091,***,25.4,16.9,36.6,6,stable,-19.7,-43.6,14.3,
"Jasper County, South Carolina(6,10)",45053,***,25.4,15,40.3,4,stable,-13.9,-46.8,39.5,
"Hawaii County, Hawaii(7,8)",15001,***,25.4,21.3,30,30,stable,-1.9,-4.8,1.1,
"Miller County, Missouri(6,10)",29131,***,25.3,15.1,40.1,4,stable,-0.1,-26.1,35,
"Ector County, Texas(6,10)",48135,***,25.3,19.5,32.2,14,stable,-7.3,-24.6,14.1,
"Santa Fe County, New Mexico(7,8)",35049,***,25.2,20.7,30.6,24,stable,-1.2,-2.9,0.6,
"Person County, North Carolina(6,10)",37145,***,25.2,16.8,36.6,6,stable,-18.4,-53.8,44,
"Arlington County, Virginia(6,10)",51013,***,25.2,20,31.2,18,stable,-3.1,-21.7,19.8,
"Walton County, Florida(6,10)",12131,***,25.1,18.4,33.6,10,stable,8,-13.5,34.7,
"Bolivar County, Mississippi(6,10)",28011,***,25.1,14.4,40.4,4,stable,-12,-47.3,47.1,
"Nacogdoches County, Texas(6,10)",48347,***,25.1,17.5,34.8,7,stable,-6.2,-34.3,34,
"Clayton County, Iowa(7,8)",19043,***,25,14.2,42,3,stable,0.2,-2.6,3,
"Utah County, Utah(7,8)",49049,***,25,21.4,29,35,falling,-6.8,-12.3,-0.9,
"Simpson County, Mississippi(6,10)",28127,***,25,14.8,39.9,4,stable,-10.2,-48.1,55.2,
"Lincoln County, South Dakota(6,10)",46083,***,25,15.7,37.5,5,stable,1.4,-32.1,51.3,
"Orleans Parish, Louisiana(7,8)",22071,***,25,21.5,28.9,40,falling,-2,-3.9,-0.1,
"Sharp County, Arkansas(6,10)",5135,***,25,14,42.5,4,stable,1.8,-39.7,71.9,
"Waushara County, Wisconsin(6,10)",55137,***,25,15.8,38.4,5,stable,3.2,-22.9,38,
"Bronx County, New York(6,10)",36005,***,25,23,27,126,stable,-2.3,-5.6,1.1,
"Colquitt County, Georgia(7,8)",13071,***,24.9,16.2,36.6,5,stable,-3.1,-7.1,1.2,
"Stephenson County, Illinois(6,10)",17177,***,24.9,17.7,34.5,8,stable,-7.1,-25.9,16.5,
"Maui County, Hawaii(7,8)",15009,***,24.8,20,30.4,20,stable,-0.2,-3.7,3.5,
"Yuma County, Arizona(6,10)",4027,***,24.8,21,29.2,30,stable,-4.2,-24,20.6,
"Owen County, Indiana(6,10)",18119,***,24.8,13.4,42.3,3,*,*,*,*,
"Houghton County, Michigan(6,10)",26061,***,24.8 #  ,15.9,37,5,stable,-7.3,-32.6,27.6,
"Fairfax City, Virginia(6,10)",51600,***,24.7,13.9,40.9,3,*,*,*,*,
"Williamson County, Texas(6,10)",48491,***,24.6,21.2,28.4,41,stable,9.7,-3.9,25.1,
"Lancaster County, Virginia(6,10)",51103,***,24.6,14,46.9,3,*,*,*,*,
"Harris County, Texas(6,10)",48201,***,24.5,23.3,25.8,341,stable,-2.1,-13.3,10.6,
"Darlington County, South Carolina(6,10)",45031,***,24.5,17.7,33.3,9,stable,-1.3,-22.5,25.8,
"Vance County, North Carolina(6,10)",37181,***,24.4,16.2,35.5,6,stable,-11.7,-41.6,33.3,
"Marengo County, Alabama(6,10)",1091,***,24.4,13.8,40.7,3,*,*,*,*,
"Columbus County, North Carolina(6,10)",37047,***,24.3,16.8,34.1,7,stable,-8.9,-25.9,12,
"Glades County, Florida(6,10)",12043,***,24.3,13.7,42.8,3,*,*,*,*,
"Sutter County, California(7,8)",6101,***,24.3,18.4,31.5,12,stable,-1.9,-5.1,1.3,
"Cape Girardeau County, Missouri(6,10)",29031,***,24.3,17.9,32.2,10,stable,-0.6,-17.2,19.2,
"Ohio County, Kentucky(7)",21183,***,24.3,14,39.6,3,*,*,*,*,
"Dougherty County, Georgia(7,8)",13095,***,24.3,17.6,32.5,9,stable,-2.3,-6,1.5,
"Tazewell County, Virginia(6,10)",51185,***,24.2,16.4,34.6,7,stable,-25.2,-46.6,4.8,
"Tulare County, California(7,8)",6107,***,24.2,20.9,27.8,40,falling,-2.5,-4.6,-0.3,
"Dyer County, Tennessee(6,10)",47045,***,24.1,15.5,35.9,5,stable,-7.8,-44.2,52.4,
"Rusk County, Texas(6,10)",48401,***,24.1,16.5,33.9,7,stable,-5.8,-46.3,65.2,
"Jones County, Georgia(7,8)",13169,***,24,13.5,39.3,3,stable,-3.1,-9.1,3.3,
"Mason County, West Virginia(6,10)",54053,***,23.9,14.5,37.7,4,stable,-0.4,-43.6,75.9,
"Victoria County, Texas(6,10)",48469,***,23.9,17.9,31.4,11,stable,-8,-28.9,19.2,
"Chaves County, New Mexico(7,8)",35005,***,23.9,17.1,32.6,8,stable,-1.7,-3.5,0.1,
"Henrico County, Virginia(6,10)",51087,***,23.9,20.3,27.9,33,stable,-4.3,-27,25.5,
"Monroe County, Indiana(6,10)",18105,***,23.8,18.2,30.5,13,stable,14.4,-5.9,39.2,
"San Benito County, California(7,8)",6069,***,23.7,15.6,34.4,6,stable,-2.7,-7.3,2,
"Mineral County, West Virginia(6,10)",54057,***,23.7,14.6,36.9,4,stable,32.3,-15.4,107,
"Montrose County, Colorado(6,10)",8085,***,23.6,16,33.8,7,stable,14.7,-34.6,101.1,
"Platte County, Missouri(6,10)",29165,***,23.4,17.4,30.9,11,stable,-1.3,-36.1,52.7,
"Orange County, North Carolina(6,10)",37135,***,23.4,17.7,30.3,13,rising,23.1,13.1,34,
"Caswell County, North Carolina(6,10)",37033,***,23.4,13.8,38,4,stable,28.8,-28.2,131.1,
"Lincoln County, Tennessee(6,10)",47103,***,23.4,14.9,35.3,5,stable,8.4,-23.6,53.8,
"Grant County, New Mexico(7,8)",35017,***,23.4,15.6,34.6,6,stable,-1.7,-3.9,0.5,
"Benton County, Iowa(7,8)",19011,***,23.4,14.1,36.9,4,falling,-9,-16,-1.4,
"Wasco County, Oregon(6,10)",41065,***,23.3,14.4,36.4,4,stable,1.9,-31,50.6,
"Cameron County, Texas(6,10)",48061,***,23.3,20.2,26.8,40,rising,7.9,4,12,
"Orangeburg County, South Carolina(6,10)",45075,***,23.3,17.4,30.6,11,stable,-21.7,-39.4,1.1,
"Fort Bend County, Texas(6,10)",48157,***,23.3,20.2,26.7,51,stable,0,-9.9,11,
"Vernon County, Wisconsin(6,10)",55123,***,23.2,14.2,36,4,*,*,*,*,
"Waller County, Texas(6,10)",48473,***,23.2,14.1,35.7,4,stable,-15.5,-38.6,16.2,
"Powhatan County, Virginia(6,10)",51145,***,23.1,13.5,37.3,4,stable,-2.7,-60.8,141.9,
"Sampson County, North Carolina(6,10)",37163,***,23.1,16.3,31.9,8,stable,9.3,-16.7,43.4,
"Inyo County, California(7,8)",6027,***,23.1,13.4,38.6,3,falling,-5.5,-9.7,-1.1,
"Honolulu County, Hawaii(7,8)",15003,***,23.1,21.3,25,123,stable,0.8,-1.9,3.5,
"Austin County, Texas(6,10)",48015,***,23.1,13.7,36.7,4,stable,1.4,-32.3,51.7,
"Hardin County, Tennessee(6,10)",47071,***,23,14.1,36.2,4,stable,-19.8,-55,42.8,
"Columbia County, Georgia(7,8)",13073,***,23,17.3,29.8,13,stable,-2.8,-6.5,1.1,
"Jefferson Davis Parish, Louisiana(7,8)",22053,***,23,13.9,35.9,4,stable,1.2,-4.3,7.1,
"Lee County, Alabama(6,10)",1081,***,22.9,17.6,29.3,14,stable,-0.5,-16.5,18.5,
"Hoke County, North Carolina(6,10)",37093,***,22.8,12.4,37.7,3,*,*,*,*,
"Patrick County, Virginia(6,10)",51141,***,22.8,13.1,38.8,3,*,*,*,*,
"Brazos County, Texas(6,10)",48041,***,22.8,17.5,29,14,stable,-19.6,-36.5,1.8,
"Harris County, Georgia(7,8)",13145,***,22.7,14.1,35.1,5,stable,1.2,-5.9,8.8,
"Washington County, Mississippi(6,10)",28151,***,22.7,14.1,34.4,5,stable,8.7,-30.5,69.8,
"Marion County, Alabama(6,10)",1093,***,22.6,14.2,34.8,5,stable,22.3,-62.8,302.2,
"Sanilac County, Michigan(6,10)",26151,***,22.6 #  ,15.2,32.6,6,stable,-13.1,-29.9,7.8,
"Bosque County, Texas(6,10)",48035,***,22.5,12.6,38.8,3,*,*,*,*,
"Greene County, Arkansas(6,10)",5055,***,22.5,14.2,33.8,5,stable,14.1,-14.7,52.6,
"Lawrence County, Tennessee(6,10)",47099,***,22.2,14.5,32.9,5,stable,0.8,-40.6,71.2,
"Kauai County, Hawaii(7,8)",15007,***,22.2,16.2,30,10,stable,-2.1,-8.4,4.5,
"Guadalupe County, Texas(6,10)",48187,***,22.2,17.2,28.2,14,stable,-3.1,-20.5,18.2,
"District of Columbia(6,10)",11001,***,22.2,19.6,25,57,stable,-11.2,-28.1,9.7,
"Collier County, Florida(6,10)",12021,***,22.2,19.9,24.7,73,stable,-16.6,-34.4,5.9,
"Wise County, Virginia(6,10)",51195,***,22,13.6,33.7,5,stable,-9.7,-29,14.9,
"Martin County, North Carolina(6,10)",37117,***,22,12.7,36.5,4,stable,15.2,-31.8,94.6,
"Brown County, Texas(6,10)",48049,***,22,14.4,32.5,5,stable,-12.6,-38.3,23.9,
"Liberty County, Georgia(7,8)",13179,***,21.9,12.1,35.7,4,stable,-2.7,-9.7,4.9,
"Mason County, Michigan(6,10)",26105,***,21.9 #  ,12.9,35.2,4,stable,-1,-41.9,68.8,
