County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Bladder/Male
"Defiance County, Ohio(6,10)",39039,***,48.3,35.8,63.9,10,stable,4,-19.8,34.8,
"New Haven County, Connecticut(7,8)",9009,***,48.2,45.3,51.2,214,stable,0.1,-0.3,0.5,
"Custer County, Montana(6,10)",30017,***,48.2,28.6,77.2,4,stable,-29.9,-52.6,3.6,
"Monroe County, Pennsylvania(6,10)",42089,***,48.1,41.7,55.4,43,stable,2.4,-18.3,28.3,
"Rutland County, Vermont(6,10)",50021,***,48.1,38.6,59.5,19,falling,-4.9,-9,-0.7,
"Smith County, Tennessee(6,10)",47159,***,48.1,29.5,74,5,stable,-12.9,-49.4,49.6,
"Forest County, Wisconsin(6,10)",55041,***,48.1,28.3,79.4,4,stable,47,-15.9,156.8,
"Grand Forks County, North Dakota(6,10)",38035,***,48.1,36.9,61.4,13,stable,2.7,-16.2,25.8,
"Somerset County, Maine(6,10)",23025,***,48,37.9,60.3,16,stable,-8.4,-22.9,8.9,
"Carroll County, Tennessee(6,10)",47017,***,48,34.3,65.8,8,rising,16.6,10.5,23.1,
"Middlesex County, Connecticut(7,8)",9007,***,48,41.9,54.7,48,stable,-0.4,-1.3,0.6,
"Steuben County, New York(6,10)",36101,***,47.9,40.3,56.6,29,stable,-1.4,-4.1,1.4,
"Fond du Lac County, Wisconsin(6,10)",55039,***,47.9,40.1,56.8,28,stable,8.6,-1.7,19.9,
"Macon County, Georgia(7)",13193,***,47.9,25.7,80.6,3,*,*,*,*,
"Huron County, Ohio(6,10)",39077,***,47.8,37.2,60.4,15,stable,16.2,-11.4,52.3,
"Sandusky County, Ohio(6,10)",39143,***,47.8,37.7,59.7,16,stable,5.2,-4.4,15.8,
"Wayne County, New York(6,10)",36117,***,47.7,39.5,57.2,25,stable,-8.8,-29.6,18.2,
"Richmond County, New York(6,10)",36085,***,47.7,43.7,52,110,stable,2.7,-9.1,16,
"Belknap County, New Hampshire(6,10)",33001,***,47.7,38.3,58.9,19,falling,-9.5,-13.1,-5.9,
"Towns County, Georgia(7,8)",13281,***,47.6,31,74.9,5,stable,-0.1,-4.9,4.8,
"Poweshiek County, Iowa(7)",19157,***,47.6,31.7,69.4,6,*,*,*,*,
"Buchanan County, Iowa(7,8)",19019,***,47.6,31.1,69.8,5,stable,2.2,-0.2,4.7,
"Lee County, Iowa(7,8)",19111,***,47.5,35.5,62.7,11,stable,1.8,-0.3,4.1,
"York County, Maine(6,10)",23031,***,47.5,42.1,53.5,58,stable,-1.4,-9.4,7.2,
"Beaver County, Pennsylvania(6,10)",42007,***,47.5,41.8,53.8,52,stable,-8.7,-18.9,2.9,
"Rockingham County, North Carolina(6,10)",37157,***,47.5,39.4,56.9,25,stable,1.2,-18.7,26.1,
"Marinette County, Wisconsin(6,10)",55075,***,47.5,36.7,60.9,14,falling,-6.6,-10.6,-2.5,
"Albany County, New York(6,10)",36001,***,47.5,42.6,52.7,74,rising,2.2,1.1,3.3,
