,img_count,img_link,img_tags
74,8,./UK_Affinio_HTML_files/DkO5FNiVsAEvP7B.jpg,"['advertising', 'document', 'presentation']"
75,8,./UK_Affinio_HTML_files/DkrIYjHWwAUt7Ls.jpg,"['road', 'human settlement', 'cityscape']"
76,8,./UK_Affinio_HTML_files/DjOIv_zXsAA-QOb.jpg,"['event', 'people', 'education']"
77,8,./UK_Affinio_HTML_files/DkLl-szXoAACp8l.jpg,"['arena', 'sport venue', 'player']"
78,8,./UK_Affinio_HTML_files/Dk4wZZiX4AAEpSz.jpg,"['drink', 'food', 'distilled beverage']"
79,8,./UK_Affinio_HTML_files/DjEXEl7UcAAqQIG.jpg,"['writing', 'professional', 'profession']"
80,8,./UK_Affinio_HTML_files/3l51MEZZxB20csR-.jpg,"['wetland', 'plain', 'natural environment']"
81,8,./UK_Affinio_HTML_files/DjwJK6oXsAAGwQz.jpg,"['dish', 'restaurant', 'food']"
82,8,./UK_Affinio_HTML_files/DktpJqaXsAEwsc_.jpg,"['crowd', 'people', 'vehicle']"
83,8,./UK_Affinio_HTML_files/DjrJBpmWsAEm8tC.jpg,"['speech', 'entertainment', 'academic conference']"
84,8,./UK_Affinio_HTML_files/Di6eIG1V4AIoKUk.jpg,"['screenshot', 'atmosphere', 'geological phenomenon']"
85,8,./UK_Affinio_HTML_files/DjsRrqoWsAUIgrH.jpg,"['nose', 'skin', 'hair']"
86,8,./UK_Affinio_HTML_files/DkumD_mXgAAlntd.jpg,"['design', 'food', 'lunch']"
87,8,./UK_Affinio_HTML_files/2cf4awV8mg49oxaQ.jpg,"['house', 'window', 'outdoor structure']"
88,8,./UK_Affinio_HTML_files/DkdR1j0WsAA-Bg0.jpg,"['distilled beverage', 'product', 'food']"
89,8,./UK_Affinio_HTML_files/DjlxIuwXsAAvohh.jpg,"['person', 'black', 'album cover']"
90,8,./UK_Affinio_HTML_files/DiyvJBqXcAEPRyE.jpg,"['musical theatre', 'entertainment', 'night']"
91,8,./UK_Affinio_HTML_files/DkoyaJFW0AAM0yX.jpg,"['signage', 'street sign', 'brand']"
92,8,./UK_Affinio_HTML_files/DkudPlhXcAI-A0K.jpg,"['person', 'sports', 'poster']"
93,8,./UK_Affinio_HTML_files/DkfLgxBVAAIgPQX.jpg,"['family', 'spring', 'toddler']"
94,8,./UK_Affinio_HTML_files/Divny7_V4AEV6Qv.jpg,"['loch', 'water', 'lake']"
95,8,./UK_Affinio_HTML_files/DkAbGJhXoAIvSlR.jpg,"['art', 'illustration', 'drawing']"
96,8,./UK_Affinio_HTML_files/DkgQ13_XcAEOq7s.jpg,"['yellow', 'illustration', 'color']"
97,8,./UK_Affinio_HTML_files/Diy256IW0AAW0B8.jpg,"['leg', 'muscle', 'structure']"
98,7,./UK_Affinio_HTML_files/DiuNYY9XcAAen-u.jpg,"['sports', 'learning', 'social group']"
99,7,./UK_Affinio_HTML_files/DjIKY9JXcAAxq0P.jpg,"['footwear', 'white', 'black']"
