County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"Harris County, Georgia(7)",13145,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrison County, Indiana(6,10)",18061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrison County, Iowa(7)",19085,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrison County, Kentucky(7)",21097,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrison County, Missouri(6,10)",29081,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrison County, Ohio(6,10)",39067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrison County, Texas(6,10)",48203,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrison County, West Virginia(6,10)",54033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Harrisonburg City, Virginia(6,10)",51660,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hart County, Georgia(7)",13147,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hart County, Kentucky(7)",21099,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hartley County, Texas(6,10)",48205,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Haskell County, Oklahoma(6,10)",40061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Haskell County, Texas(6,10)",48207,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hawkins County, Tennessee(6,10)",47073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hayes County, Nebraska(6,10)",31085,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hays County, Texas(6,10)",48209,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Haywood County, North Carolina(6,10)",37087,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Haywood County, Tennessee(6,10)",47075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Heard County, Georgia(7)",13149,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hemphill County, Texas(6,10)",48211,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hempstead County, Arkansas(6,10)",5057,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henderson County, Illinois(6,10)",17071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henderson County, Kentucky(7)",21101,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henderson County, Tennessee(6,10)",47077,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henderson County, Texas(6,10)",48213,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hendry County, Florida(6,10)",12051,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Alabama(6,10)",1067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Illinois(6,10)",17073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Indiana(6,10)",18065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Iowa(7)",19087,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Kentucky(7)",21103,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Missouri(6,10)",29083,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Ohio(6,10)",39069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Tennessee(6,10)",47079,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Henry County, Virginia(6,10)",51089,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Herkimer County, New York(6,10)",36043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hertford County, North Carolina(6,10)",37091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hettinger County, North Dakota(6,10)",38041,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hickman County, Kentucky(7)",21105,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hickman County, Tennessee(6,10)",47081,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hickory County, Missouri(6,10)",29085,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hidalgo County, New Mexico(7)",35023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Highland County, Ohio(6,10)",39071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Highland County, Virginia(6,10)",51091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hill County, Montana(6,10)",30041,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hill County, Texas(6,10)",48217,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hillsdale County, Michigan(6,10)",26059,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hinsdale County, Colorado(6,10)",8053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hitchcock County, Nebraska(6,10)",31087,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hocking County, Ohio(6,10)",39073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hockley County, Texas(6,10)",48219,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hoke County, North Carolina(6,10)",37093,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Holmes County, Florida(6,10)",12059,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Holmes County, Mississippi(6,10)",28051,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Holmes County, Ohio(6,10)",39075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Holt County, Missouri(6,10)",29087,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Holt County, Nebraska(6,10)",31089,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hood County, Texas(6,10)",48221,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hood River County, Oregon(6,10)",41027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hooker County, Nebraska(6,10)",31091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hopewell City, Virginia(6,10)",51670,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hopkins County, Kentucky(7)",21107,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hopkins County, Texas(6,10)",48223,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hot Spring County, Arkansas(6,10)",5059,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hot Springs County, Wyoming(6,10)",56017,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Houghton County, Michigan(6,10)",26061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Houston County, Tennessee(6,10)",47083,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Houston County, Texas(6,10)",48225,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Howard County, Arkansas(6,10)",5061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Howard County, Indiana(6,10)",18067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Howard County, Iowa(7)",19089,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Howard County, Missouri(6,10)",29089,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Howard County, Nebraska(6,10)",31093,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Howard County, Texas(6,10)",48227,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Howell County, Missouri(6,10)",29091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hudspeth County, Texas(6,10)",48229,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Huerfano County, Colorado(6,10)",8055,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hughes County, Oklahoma(6,10)",40063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hughes County, South Dakota(6,10)",46065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Humboldt County, California(7)",6023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Humboldt County, Iowa(7)",19091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Humphreys County, Mississippi(6,10)",28053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Humphreys County, Tennessee(6,10)",47085,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hunt County, Texas(6,10)",48231,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hunterdon County, New Jersey(7,8)",34019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Huntingdon County, Pennsylvania(6,10)",42061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Huntington County, Indiana(6,10)",18069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Huron County, Michigan(6,10)",26063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Huron County, Ohio(6,10)",39077,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hutchinson County, South Dakota(6,10)",46067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hutchinson County, Texas(6,10)",48233,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hyde County, North Carolina(6,10)",37095,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Hyde County, South Dakota(6,10)",46069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iberia Parish, Louisiana(7)",22045,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iberville Parish, Louisiana(7)",22047,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Ida County, Iowa(7)",19093,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Idaho County, Idaho(6,10)",16049,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Independence County, Arkansas(6,10)",5063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Indiana County, Pennsylvania(6,10)",42063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Inyo County, California(7)",6027,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Ionia County, Michigan(6,10)",26067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iosco County, Michigan(6,10)",26069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iowa County, Iowa(7)",19095,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iowa County, Wisconsin(6,10)",55049,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Irion County, Texas(6,10)",48235,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iron County, Michigan(6,10)",26071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iron County, Missouri(6,10)",29093,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iron County, Utah(7)",49021,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iron County, Wisconsin(6,10)",55051,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Iroquois County, Illinois(6,10)",17075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Irwin County, Georgia(7)",13155,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Isabella County, Michigan(6,10)",26073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Island County, Washington(7)",53029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Isle of Wight County, Virginia(6,10)",51093,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Issaquena County, Mississippi(6,10)",28055,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Itawamba County, Mississippi(6,10)",28057,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Izard County, Arkansas(6,10)",5065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jack County, Texas(6,10)",48237,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Alabama(6,10)",1071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Arkansas(6,10)",5067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Colorado(6,10)",8057,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Florida(6,10)",12063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Georgia(7)",13157,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Illinois(6,10)",17077,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Indiana(6,10)",18071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Iowa(7)",19097,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Kentucky(7)",21109,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Mississippi(6,10)",28059,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, North Carolina(6,10)",37099,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Ohio(6,10)",39079,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Oklahoma(6,10)",40065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, South Dakota(6,10)",46071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Tennessee(6,10)",47087,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Texas(6,10)",48239,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, West Virginia(6,10)",54035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson County, Wisconsin(6,10)",55053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jackson Parish, Louisiana(7)",22049,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"James City County, Virginia(6,10)",51095,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, Georgia(7)",13159,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, Illinois(6,10)",17079,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, Indiana(6,10)",18073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, Iowa(7)",19099,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, Mississippi(6,10)",28061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, Missouri(6,10)",29097,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, South Carolina(6,10)",45053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jasper County, Texas(6,10)",48241,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jay County, Indiana(6,10)",18075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jeff Davis County, Georgia(7)",13161,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jeff Davis County, Texas(6,10)",48243,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Arkansas(6,10)",5069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Florida(6,10)",12065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Georgia(7)",13163,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Idaho(6,10)",16051,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Illinois(6,10)",17081,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Indiana(6,10)",18077,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Iowa(7)",19101,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Mississippi(6,10)",28063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Missouri(6,10)",29099,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Montana(6,10)",30043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Nebraska(6,10)",31095,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, New York(6,10)",36045,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Ohio(6,10)",39081,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Oklahoma(6,10)",40067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Oregon(6,10)",41031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Pennsylvania(6,10)",42065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Tennessee(6,10)",47089,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Washington(7)",53031,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, West Virginia(6,10)",54037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson County, Wisconsin(6,10)",55055,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson Davis County, Mississippi(6,10)",28065,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jefferson Davis Parish, Louisiana(7)",22053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jenkins County, Georgia(7)",13165,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jennings County, Indiana(6,10)",18079,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jerauld County, South Dakota(6,10)",46073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jerome County, Idaho(6,10)",16053,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jersey County, Illinois(6,10)",17083,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jessamine County, Kentucky(7)",21113,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jim Hogg County, Texas(6,10)",48247,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jim Wells County, Texas(6,10)",48249,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jo Daviess County, Illinois(6,10)",17085,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Arkansas(6,10)",5071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Georgia(7)",13167,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Illinois(6,10)",17087,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Iowa(7)",19103,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Kentucky(7)",21115,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Missouri(6,10)",29101,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Nebraska(6,10)",31097,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Tennessee(6,10)",47091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnson County, Wyoming(6,10)",56019,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Johnston County, Oklahoma(6,10)",40069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jones County, Georgia(7)",13169,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jones County, Iowa(7)",19105,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jones County, Mississippi(6,10)",28067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jones County, North Carolina(6,10)",37103,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jones County, South Dakota(6,10)",46075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Jones County, Texas(6,10)",48253,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Josephine County, Oregon(6,10)",41033,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Juab County, Utah(7)",49023,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Judith Basin County, Montana(6,10)",30045,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Juneau Borough, Alaska(6,10)",2110,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Juneau County, Wisconsin(6,10)",55057,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Juniata County, Pennsylvania(6,10)",42067,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kalawao County, Hawaii(7)",15005,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kalkaska County, Michigan(6,10)",26079,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kane County, Utah(7)",49025,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kankakee County, Illinois(6,10)",17091,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Karnes County, Texas(6,10)",48255,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kauai County, Hawaii(7)",15007,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kay County, Oklahoma(6,10)",40071,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kearney County, Nebraska(6,10)",31099,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Keith County, Nebraska(6,10)",31101,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kemper County, Mississippi(6,10)",28069,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kenai Peninsula Borough, Alaska(6,10)",2122,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kendall County, Illinois(6,10)",17093,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kendall County, Texas(6,10)",48259,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kenedy County, Texas(6,10)",48261,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kent County, Maryland(6,10)",24029,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kent County, Texas(6,10)",48263,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Keokuk County, Iowa(7)",19107,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kerr County, Texas(6,10)",48265,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kershaw County, South Carolina(6,10)",45055,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Ketchikan Gateway Borough, Alaska(6,10)",2130,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kewaunee County, Wisconsin(6,10)",55061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Keweenaw County, Michigan(6,10)",26083,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Keya Paha County, Nebraska(6,10)",31103,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kidder County, North Dakota(6,10)",38043,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kimball County, Nebraska(6,10)",31105,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kimble County, Texas(6,10)",48267,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"King County, Texas(6,10)",48269,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"King George County, Virginia(6,10)",51099,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"King William County, Virginia(6,10)",51101,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"King and Queen County, Virginia(6,10)",51097,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kingfisher County, Oklahoma(6,10)",40073,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kingsbury County, South Dakota(6,10)",46077,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kinney County, Texas(6,10)",48271,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kiowa County, Colorado(6,10)",8061,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kiowa County, Oklahoma(6,10)",40075,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kit Carson County, Colorado(6,10)",8063,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kittitas County, Washington(6,10)",53037,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Klamath County, Oregon(6,10)",41035,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Kleberg County, Texas(6,10)",48273,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Klickitat County, Washington(6,10)",53039,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knott County, Kentucky(7)",21119,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knox County, Illinois(6,10)",17095,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knox County, Indiana(6,10)",18083,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knox County, Kentucky(7)",21121,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knox County, Maine(6,10)",23013,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knox County, Missouri(6,10)",29103,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knox County, Nebraska(6,10)",31107,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
"Knox County, Ohio(6,10)",39083,<font color=grey>*</font>,* ,*, *,3 or fewer,*,*,*,*,
