County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"San Mateo County, California(7,8)",6081,***,5.8,4.9,7,27,stable,-0.6,-2.1,0.9,
"Osceola County, Florida(6,10)",12097,***,5.8,4.3,7.8,9,stable,-5.4,-33,33.5,
"Shelby County, Tennessee(6,10)",47157,***,5.8,4.9,6.9,30,stable,-9.5,-19.3,1.6,
"Richland County, South Carolina(6,10)",45079,***,5.8,4.4,7.6,12,stable,0.5,-29,42.3,
"Harris County, Texas(6,10)",48201,***,5.8,5.3,6.3,112,stable,0.7,-2.6,4.1,
"Erie County, New York(6,10)",36029,***,5.8,5,6.8,38,stable,0.4,-21.9,29.1,
"Dallas County, Texas(6,10)",48113,***,5.8,5.2,6.5,67,stable,3.2,-11.5,20.4,
"Hawaii County, Hawaii(7)",15001,***,5.8,4,8.2,8,*,*,*,*,
"Harnett County, North Carolina(6,10)",37085,***,5.8,3.4,9.2,4,stable,16,-9.8,49.1,
"Wood County, West Virginia(6,10)",54107,***,5.8,3.4,9.4,4,stable,-2.7,-46.6,77.4,
"St. Louis City, Missouri(6,10)",29510,***,5.8,4.3,7.6,11,falling,-13.9,-22.8,-3.9,
"Lake County, Indiana(6,10)",18089,***,5.7,4.6,7.1,18,stable,-7.7,-32.4,26.1,
"Putnam County, New York(6,10)",36079,***,5.7,3.2,9.5,3,*,*,*,*,
"Guadalupe County, Texas(6,10)",48187,***,5.7,3.6,8.6,5,*,*,*,*,
"Ector County, Texas(6,10)",48135,***,5.7,3.4,8.9,4,stable,-22.1,-56.1,38.1,
"New York County, New York(6,10)",36061,***,5.7,5,6.4,60,stable,4,-1.9,10.1,
"Kings County, California(7,8)",6031,***,5.7,3.3,9,4,stable,2.2,-3.6,8.2,
"Bexar County, Texas(6,10)",48029,***,5.7,5,6.4,52,rising,17.6,3.9,33.2,
"Hampden County, Massachusetts(6,10)",25013,***,5.6,4.5,7,17,stable,-0.2,-21.8,27.4,
"Howard County, Maryland(6,10)",24027,***,5.6,4.1,7.5,9,stable,11.5,-23.5,62.5,
"DeKalb County, Georgia(7,8)",13089,***,5.6,4.6,6.8,21,stable,0.5,-0.6,1.5,
"Prince Georges County, Maryland(6,10)",24033,***,5.5,4.6,6.6,26,stable,3.9,-2.9,11,
"Montgomery County, Maryland(6,10)",24031,***,5.5,4.7,6.5,35,stable,0.9,-29.4,44.1,
"Charleston County, South Carolina(6,10)",45019,***,5.5,4.2,7.1,13,stable,7,-16,36.3,
"Fresno County, California(7,8)",6019,***,5.5,4.6,6.6,26,stable,-0.6,-3.3,2.2,
"Rowan County, North Carolina(6,10)",37159,***,5.5,3.6,8.3,5,stable,2.3,-38.6,70.6,
"Dutchess County, New York(6,10)",36027,***,5.5,4.1,7.3,11,stable,-14.5,-28.5,2.3,
"La Crosse County, Wisconsin(6,10)",55063,***,5.5,3.3,8.7,4,stable,-13.1,-59,84.3,
"Solano County, California(7,8)",6095,***,5.5,4.3,7,14,stable,-1.4,-6.1,3.5,
